dimension, h2-Total, h2-far, h2-near, ocl-far
   1024,  0.0078103319, 0.0000796318,  0.0068364143, 0.0000025108
   2048,  0.0189277008, 0.0024640560,  0.0148671865, 0.0000339895
   4096,  0.0485982224, 0.0061668605,  0.0396622419, 0.0000836812
   8192,  0.1006457880, 0.0189480931,  0.0760791302, 0.0002360642
  16384,  0.2214199379, 0.0393597931,  0.1712797880, 0.0004865453
  32768,  0.4453484192, 0.1015820801,  0.3214820921, 0.0012257360
  65536,  0.9225108847, 0.1847428679,  0.6955143064, 0.0022726953
 131072,  1.8384358063, 0.4447510540,  1.3064798713, 0.0052182451
 262144,  3.7893492207, 0.8434981406,  2.7743883580, 0.0099864192
 524288,  7.3075295314, 1.9241536260,  5.0309462547, 0.0221160352
1048576, 15.2884470746, 3.4527419358, 11.1474117786, 0.0404682942
